Location	MC.Top	Location	MC.Left	Location	MC.Bottom	Location	MC.Right	Location	TL.Top	Location	TL.Left	Location	TL.Bottom	Location	TL.Right	Location	TR.Top	Location	TR.Left	Location	TR.Bottom	Location	TR.Right	Location	BR.Top	Location	BR.Left	Location	BR.Bottom	Location	BR.Right	Location	BL.Top	Location	BL.Left	Location	BL.Bottom	Location	BL.Right
ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	3440:585:3480:625	ROI	3419:618:3459:658	ROI	3456:643:3496:683	ROI	3478:610:3518:650	ROI	3145:1853:3185:1893	ROI	3111:1878:3151:1918	ROI	3135:1912:3175:1952	ROI	3170:1887:3210:1927	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0
																Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF								
																0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000								
																12.333333	0.877900	12.000000	0.918700	12.333333	0.876700	12.000000	0.921700	12.047619	0.827600	12.047619	0.818900	11.952381	0.832600	12.000000	0.824800								
																24.666667	0.583700	24.000000	0.699500	24.666667	0.587700	24.000000	0.716300	24.095238	0.475100	24.095238	0.418100	23.904762	0.484900	24.000000	0.428900								
																37.000000	0.298000	36.000000	0.414000	37.000000	0.297800	35.952381	0.442500	36.142857	0.223300	36.190476	0.121900	35.857143	0.237300	36.000000	0.126300								
																49.333333	0.164800	48.000000	0.148700	49.333333	0.157900	47.952381	0.182500	48.142857	0.137100	48.238095	0.185600	47.809524	0.135200	48.000000	0.183800								
																61.666667	0.139100	60.000000	0.104600	61.666667	0.124800	59.952381	0.102700	60.190476	0.076500	60.285714	0.156100	59.761905	0.077200	60.000000	0.162700								
																74.000000	0.078300	71.952381	0.193300	74.047619	0.070500	71.952381	0.191700	72.238095	0.062400	72.333333	0.083600	71.714286	0.078300	72.047619	0.089500								
																86.333333	0.001200	83.952381	0.201800	86.380952	0.010500	83.952381	0.211800	84.285714	0.052500	84.380952	0.076800	83.714286	0.072200	84.047619	0.081000								
																98.666667	0.057200	95.952381	0.149600	98.714286	0.037000	95.904762	0.176300	96.333333	0.045400	96.428571	0.059700	95.666667	0.066400	96.047619	0.067200								
																111.047619	0.072200	107.952381	0.088800	111.047619	0.051300	107.904762	0.116800	108.380952	0.044100	108.523810	0.039400	107.619048	0.051100	108.047619	0.054900								
																123.380952	0.052200	119.952381	0.066000	123.380952	0.038600	119.904762	0.069600	120.428571	0.026600	120.571429	0.028500	119.571429	0.021500	120.047619	0.040800								
																135.714286	0.024100	131.952381	0.090100	135.714286	0.034200	131.904762	0.053000	132.428571	0.010300	132.619048	0.023600	131.523810	0.012300	132.047619	0.024700								
																148.047619	0.036400	143.952381	0.097100	148.047619	0.038800	143.857143	0.067900	144.476190	0.010100	144.666667	0.040000	143.476190	0.027900	144.047619	0.014100								
																160.380952	0.018400	155.952381	0.083400	160.380952	0.027100	155.857143	0.079400	156.523810	0.011900	156.714286	0.030500	155.428571	0.034800	156.047619	0.012700								
																172.714286	0.011700	167.952381	0.057400	172.714286	0.017600	167.857143	0.070100	168.571429	0.006800	168.761905	0.015500	167.380952	0.032900	168.047619	0.018500								
																185.047619	0.024700	179.952381	0.033400	185.047619	0.012800	179.857143	0.048300	180.619048	0.004300	180.857143	0.018100	179.333333	0.016700	180.047619	0.014100								
																197.380952	0.034900	191.952381	0.016600	197.380952	0.020100	191.857143	0.026800	192.666667	0.004000	192.904762	0.030400	191.285714	0.016200	192.047619	0.017000								
																209.714286	0.030200	203.952381	0.014900	209.761905	0.030600	203.809524	0.019000	204.714286	0.001600	204.952381	0.031700	203.238095	0.003800	204.095238	0.025400								
																222.047619	0.023300	215.904762	0.016700	222.095238	0.028400	215.809524	0.020600	216.761905	0.009000	217.000000	0.027300	215.190476	0.018500	216.095238	0.019700								
																234.380952	0.015300	227.904762	0.006700	234.428571	0.027200	227.809524	0.014600	228.761905	0.022000	229.047619	0.017700	227.190476	0.026500	228.095238	0.016600								
																246.714286	0.012900	239.904762	0.009900	246.761905	0.022500	239.809524	0.004100	240.809524	0.006900	241.095238	0.015700	239.142857	0.014300	240.095238	0.017900								
																259.047619	0.012300	251.904762	0.020200	259.095238	0.010500	251.809524	0.021800	252.857143	0.012300	253.190476	0.029300	251.095238	0.012100	252.095238	0.026600								
																271.380952	0.028300	263.904762	0.018100	271.428571	0.009400	263.761905	0.033400	264.904762	0.025900	265.238095	0.020800	263.047619	0.019700	264.095238	0.020400								
																283.714286	0.029700	275.904762	0.013900	283.761905	0.006900	275.761905	0.029500	276.952381	0.019900	277.285714	0.015800	275.000000	0.023500	276.095238	0.006500								
																296.047619	0.016200	287.904762	0.005700	296.095238	0.021000	287.761905	0.026000	289.000000	0.015800	289.333333	0.039000	286.952381	0.031400	288.095238	0.015100								
																308.428571	0.020600	299.904762	0.019500	308.428571	0.040800	299.761905	0.022400	301.047619	0.041800	301.380952	0.048000	298.904762	0.038100	300.095238	0.026400								
																320.761905	0.043800	311.904762	0.032400	320.761905	0.032700	311.761905	0.017900	313.047619	0.046800	313.428571	0.026700	310.857143	0.043100	312.095238	0.016500								
																333.095238	0.049500	323.904762	0.013500	333.095238	0.028400	323.714286	0.013900	325.095238	0.020100	325.523810	0.014200	322.809524	0.035800	324.142857	0.008600								
