Location	MC.Top	Location	MC.Left	Location	MC.Bottom	Location	MC.Right	Location	TL.Top	Location	TL.Left	Location	TL.Bottom	Location	TL.Right	Location	TR.Top	Location	TR.Left	Location	TR.Bottom	Location	TR.Right	Location	BR.Top	Location	BR.Left	Location	BR.Bottom	Location	BR.Right	Location	BL.Top	Location	BL.Left	Location	BL.Bottom	Location	BL.Right
ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	374:569:414:609	ROI	337:593:377:633	ROI	358:627:398:667	ROI	396:603:436:643	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	665:1844:705:1884	ROI	641:1879:681:1919	ROI	677:1903:717:1943	ROI	700:1869:740:1909
								Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF																	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF
								0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000																	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000
								12.285714	0.781800	11.904762	0.768000	12.142857	0.780100	12.047619	0.768000																	12.095238	0.815200	11.952381	0.832200	12.047619	0.822800	12.047619	0.828200
								24.571429	0.351900	23.809524	0.353400	24.285714	0.356500	24.095238	0.345300																	24.190476	0.433200	23.952381	0.483200	24.095238	0.455200	24.095238	0.468400
								36.904762	0.074300	35.714286	0.115600	36.428571	0.088200	36.142857	0.118900																	36.238095	0.162300	35.904762	0.197300	36.142857	0.189200	36.142857	0.184800
								49.190476	0.044000	47.619048	0.078000	48.571429	0.040100	48.190476	0.082800																	48.333333	0.117700	47.904762	0.079200	48.190476	0.137000	48.190476	0.070900
								61.476190	0.060900	59.523810	0.083800	60.714286	0.052100	60.285714	0.071700																	60.428571	0.103700	59.857143	0.061500	60.238095	0.123000	60.285714	0.053700
								73.761905	0.076100	71.428571	0.042800	72.857143	0.065900	72.333333	0.039700																	72.523810	0.098000	71.857143	0.083200	72.285714	0.115400	72.333333	0.078000
								86.047619	0.043100	83.333333	0.014400	85.000000	0.043200	84.380952	0.028300																	84.619048	0.082900	83.809524	0.078600	84.380952	0.097600	84.380952	0.075100
