Location	MC.Top	Location	MC.Left	Location	MC.Bottom	Location	MC.Right	Location	TL.Top	Location	TL.Left	Location	TL.Bottom	Location	TL.Right	Location	TR.Top	Location	TR.Left	Location	TR.Bottom	Location	TR.Right	Location	BR.Top	Location	BR.Left	Location	BR.Bottom	Location	BR.Right	Location	BL.Top	Location	BL.Left	Location	BL.Bottom	Location	BL.Right
ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	3441:585:3481:625	ROI	3420:618:3460:658	ROI	3457:642:3497:682	ROI	3479:609:3519:649	ROI	3146:1852:3186:1892	ROI	3111:1877:3151:1917	ROI	3136:1911:3176:1951	ROI	3171:1886:3211:1926	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0
																Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF								
																0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000								
																12.333333	0.844900	12.000000	0.886300	12.285714	0.842400	11.952381	0.893300	12.047619	0.796400	12.047619	0.785900	11.904762	0.811100	11.952381	0.792700								
																24.714286	0.497900	24.000000	0.591700	24.571429	0.486900	23.904762	0.608800	24.142857	0.410100	24.095238	0.339500	23.809524	0.442600	23.904762	0.366400								
																37.047619	0.215800	36.000000	0.249800	36.809524	0.205800	35.904762	0.273600	36.190476	0.183700	36.142857	0.140300	35.714286	0.205100	35.857143	0.157200								
																49.380952	0.145400	48.000000	0.084800	49.095238	0.135700	47.857143	0.079700	48.238095	0.110100	48.142857	0.167600	47.619048	0.116400	47.809524	0.188100								
																61.714286	0.086300	60.000000	0.199300	61.380952	0.080600	59.809524	0.193600	60.285714	0.070500	60.190476	0.090600	59.523810	0.085700	59.809524	0.123900								
																74.095238	0.032100	72.000000	0.202500	73.666667	0.020700	71.761905	0.225100	72.380952	0.057800	72.238095	0.069600	71.428571	0.080700	71.761905	0.086700								
																86.428571	0.058900	84.047619	0.124900	85.952381	0.059900	83.761905	0.165600	84.428571	0.043600	84.285714	0.062900	83.333333	0.069000	83.714286	0.078900								
																98.761905	0.054900	96.047619	0.051800	98.238095	0.058400	95.714286	0.094000	96.476190	0.033000	96.333333	0.045300	95.238095	0.045900	95.666667	0.063400								
																111.142857	0.042800	108.047619	0.065400	110.476190	0.051500	107.666667	0.070900	108.571429	0.025200	108.380952	0.026600	107.142857	0.026400	107.619048	0.037000								
																123.476190	0.042100	120.047619	0.085500	122.761905	0.042700	119.619048	0.102700	120.619048	0.028000	120.380952	0.012200	119.095238	0.031100	119.571429	0.016400								
																135.809524	0.053900	132.047619	0.074000	135.047619	0.025400	131.619048	0.101000	132.666667	0.020600	132.428571	0.014600	131.000000	0.024500	131.523810	0.031600								
																148.142857	0.031800	144.047619	0.046300	147.333333	0.019400	143.571429	0.059800	144.761905	0.013500	144.476190	0.027600	142.904762	0.001600	143.476190	0.032400								
																160.523810	0.011500	156.047619	0.043200	159.619048	0.021800	155.523810	0.033700	156.809524	0.016600	156.523810	0.023300	154.809524	0.021700	155.476190	0.037700								
																172.857143	0.011400	168.047619	0.047400	171.857143	0.025200	167.476190	0.035600	168.857143	0.020600	168.571429	0.015300	166.714286	0.019700	167.428571	0.026200								
																185.190476	0.022900	180.047619	0.043500	184.142857	0.023700	179.428571	0.052500	180.904762	0.022900	180.619048	0.018500	178.619048	0.013200	179.380952	0.012000								
																197.571429	0.037800	192.047619	0.027900	196.428571	0.012600	191.428571	0.045400	193.000000	0.009800	192.666667	0.020900	190.523810	0.010300	191.333333	0.018500								
																209.904762	0.042300	204.047619	0.022600	208.714286	0.012200	203.380952	0.032600	205.047619	0.007800	204.666667	0.018800	202.428571	0.003600	203.285714	0.009700								
