Location	MC.Top	Location	MC.Left	Location	MC.Bottom	Location	MC.Right	Location	TL.Top	Location	TL.Left	Location	TL.Bottom	Location	TL.Right	Location	TR.Top	Location	TR.Left	Location	TR.Bottom	Location	TR.Right	Location	BR.Top	Location	BR.Left	Location	BR.Bottom	Location	BR.Right	Location	BL.Top	Location	BL.Left	Location	BL.Bottom	Location	BL.Right
ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	3443:585:3483:625	ROI	3421:618:3461:658	ROI	3459:643:3499:683	ROI	3481:610:3521:650	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0
																Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF																
																0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000																
																12.238095	0.771200	12.000000	0.810800	12.285714	0.772400	11.952381	0.821000																
																24.428571	0.334700	23.952381	0.381900	24.571429	0.340900	23.904762	0.412600																
																36.666667	0.137900	35.952381	0.088100	36.857143	0.141800	35.857143	0.122400																
																48.857143	0.069900	47.952381	0.202300	49.142857	0.083900	47.809524	0.221100																
																61.095238	0.055600	59.952381	0.152500	61.428571	0.059100	59.761905	0.182500																
																73.333333	0.074700	71.904762	0.066300	73.666667	0.076100	71.666667	0.087500																
																85.523810	0.055900	83.904762	0.085300	85.952381	0.054200	83.619048	0.097600																
																97.761905	0.045200	95.904762	0.067500	98.238095	0.041500	95.571429	0.083400																
																110.000000	0.027900	107.904762	0.041500	110.523810	0.034300	107.523810	0.047200																
																122.190476	0.013300	119.857143	0.049400	122.809524	0.030400	119.476190	0.065500																
																134.428571	0.023600	131.857143	0.047600	135.095238	0.025900	131.428571	0.063100																
																146.619048	0.020000	143.857143	0.028200	147.380952	0.026400	143.380952	0.034000																
																158.857143	0.013900	155.809524	0.022500	159.666667	0.020800	155.333333	0.013500																
																171.095238	0.003400	167.809524	0.024000	171.952381	0.013700	167.285714	0.032200																
																183.285714	0.020300	179.809524	0.023800	184.238095	0.018100	179.238095	0.023400																
																195.523810	0.016400	191.809524	0.031500	196.523810	0.011900	191.142857	0.020500																
																207.761905	0.009100	203.761905	0.022400	208.761905	0.015500	203.095238	0.021200																
																219.952381	0.011100	215.761905	0.008300	221.047619	0.016600	215.047619	0.010700																
																232.190476	0.014500	227.761905	0.009800	233.333333	0.013800	227.000000	0.004900																
																244.380952	0.005400	239.761905	0.022300	245.619048	0.007200	238.952381	0.007200																
																256.619048	0.002700	251.714286	0.020800	257.904762	0.007400	250.904762	0.016200																
																268.857143	0.008400	263.714286	0.012700	270.190476	0.013400	262.857143	0.034400																
																281.047619	0.015000	275.714286	0.021900	282.476190	0.021200	274.809524	0.025600																
																293.285714	0.008500	287.666667	0.016800	294.761905	0.009200	286.761905	0.005100																
																305.523810	0.009800	299.666667	0.012600	307.047619	0.004600	298.714286	0.014400																
																317.714286	0.022900	311.666667	0.014400	319.333333	0.005700	310.666667	0.006600																
																329.952381	0.017800	323.666667	0.007600	331.619048	0.025000	322.571429	0.016100																
																342.142857	0.017300	335.619048	0.021400	343.857143	0.036200	334.523810	0.028600																
																354.380952	0.018800	347.619048	0.021400	356.142857	0.015600	346.476190	0.004300																
																366.619048	0.003400	359.619048	0.012400	368.428571	0.033200	358.428571	0.013500																
																378.809524	0.034500	371.619048	0.037200	380.714286	0.058300	370.380952	0.051600																
																391.047619	0.023800	383.571429	0.037900	393.000000	0.051700	382.333333	0.050800																
																403.285714	0.017400	395.571429	0.070000	405.285714	0.028000	394.285714	0.037300																
																415.476190	0.041600	407.571429	0.070200	417.571429	0.024200	406.238095	0.025100																
																427.714286	0.045100	419.523810	0.031400	429.857143	0.053400	418.190476	0.054000																
																439.904762	0.047800	431.523810	0.033100	442.142857	0.058400	430.142857	0.056800																
																452.142857	0.088400	443.523810	0.042500	454.428571	0.040000	442.047619	0.018100																
																464.380952	0.038800	455.523810	0.035400	466.714286	0.028000	454.000000	0.098400																
																476.571429	0.040100	467.476190	0.083200	478.952381	0.091000	465.952381	0.121000																
																488.809524	0.048700	479.476190	0.135600	491.238095	0.099200	477.904762	0.389800																
