Location	MC.Top	Location	MC.Left	Location	MC.Bottom	Location	MC.Right	Location	TL.Top	Location	TL.Left	Location	TL.Bottom	Location	TL.Right	Location	TR.Top	Location	TR.Left	Location	TR.Bottom	Location	TR.Right	Location	BR.Top	Location	BR.Left	Location	BR.Bottom	Location	BR.Right	Location	BL.Top	Location	BL.Left	Location	BL.Bottom	Location	BL.Right
ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	374:568:414:608	ROI	336:592:376:632	ROI	358:626:398:666	ROI	395:601:435:641	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	664:1844:704:1884	ROI	640:1878:680:1918	ROI	676:1903:716:1943	ROI	699:1869:739:1909
								Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF																	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF
								0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000																	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000
								12.333333	0.811900	11.952381	0.791700	12.142857	0.809300	12.047619	0.791600																	12.095238	0.838000	12.000000	0.859900	12.047619	0.847500	12.047619	0.857700
								24.666667	0.425400	23.857143	0.401600	24.285714	0.425600	24.095238	0.400200																	24.238095	0.491300	23.952381	0.549000	24.095238	0.524300	24.095238	0.529300
								36.952381	0.138800	35.809524	0.163300	36.428571	0.145500	36.142857	0.150700																	36.333333	0.210500	35.952381	0.265600	36.142857	0.249600	36.142857	0.247500
								49.285714	0.057600	47.714286	0.105500	48.571429	0.053800	48.190476	0.093500																	48.428571	0.133200	47.952381	0.119400	48.190476	0.152100	48.190476	0.099900
								61.619048	0.044200	59.666667	0.096500	60.714286	0.034200	60.238095	0.080900																	60.523810	0.123700	59.904762	0.078800	60.238095	0.138000	60.285714	0.062500
								73.952381	0.075000	71.619048	0.058200	72.904762	0.074800	72.333333	0.051400																	72.666667	0.113500	71.904762	0.082800	72.285714	0.132000	72.333333	0.063000
								86.238095	0.066100	83.523810	0.051800	85.047619	0.075400	84.380952	0.031800																	84.761905	0.110800	83.904762	0.084300	84.333333	0.127100	84.380952	0.068900
								98.571429	0.045100	95.476190	0.041500	97.190476	0.050600	96.428571	0.023400																	96.857143	0.097000	95.904762	0.078500	96.380952	0.102900	96.428571	0.064800
								110.904762	0.027900	107.380952	0.022100	109.333333	0.026400	108.476190	0.019800																	109.000000	0.074000	107.857143	0.065100	108.428571	0.078300	108.476190	0.062900
								123.238095	0.013600	119.333333	0.015200	121.476190	0.008600	120.523810	0.008000																	121.095238	0.060200	119.857143	0.043600	120.476190	0.062900	120.523810	0.046800
